      TIME      TAMB     T_AIR     T_OP     1_T_AIR    1_T_OP      2_T_AIR    2_T_OP      3_T_AIR    3_T_OP    
      [HR]       [C]      [C]       [C]       [C]      [C]        [C]      [C]        [C]      [C]    
    569.00     -3.87     18.17     18.17     20.00     20.00     23.10     23.10      9.56      9.56
    570.00     -4.30     18.27     18.27     20.00     20.00     23.54     23.54      9.54      9.54
    571.00     -4.70     18.35     18.35     20.00     20.00     23.88     23.88      9.51      9.51
    572.00     -5.10     18.38     18.38     20.00     20.00     24.03     24.03      9.48      9.48
    573.00     -5.50     18.41     18.41     20.00     20.00     24.21     24.21      9.44      9.44
    574.00     -5.90     18.42     18.42     20.00     20.00     24.30     24.30      9.39      9.39
    575.00     -6.30     16.26     16.26     17.50     17.50     20.72     20.72      9.33      9.33
    576.00     -6.70     14.30     14.30     15.00     15.00     17.95     17.95      9.25      9.25
    577.00     -7.03     14.07     14.07     15.00     15.00     17.15     17.15      9.14      9.14
    578.00     -7.20     13.61     13.61     15.00     15.00     15.42     15.42      9.00      9.00
    579.00     -7.40     13.51     13.51     15.00     15.00     15.20     15.20      8.83      8.83
    580.00     -7.60     13.41     13.41     15.00     15.00     15.00     15.00      8.64      8.64
    581.00     -7.75     13.36     13.36     15.00     15.00     15.00     15.00      8.43      8.43
    582.00     -7.90     13.30     13.30     15.00     15.00     15.00     15.00      8.21      8.21
    583.00     -8.10     13.25     13.25     15.00     15.00     15.00     15.00      7.99      7.99
    584.00     -8.30     15.07     15.07     17.50     17.50     17.50     17.50      7.77      7.77
    585.00     -7.88     16.90     16.90     20.00     20.00     20.00     20.00      7.60      7.60
    586.00     -5.18     16.90     16.90     20.00     20.00     20.00     20.00      7.60      7.60
    587.00     -2.93     16.95     16.95     20.00     20.00     20.07     20.07      7.74      7.74
    588.00     -1.55     17.17     17.17     20.00     20.00     20.73     20.73      7.94      7.94
    589.00     -0.15     17.52     17.52     20.00     20.00     21.89     21.89      8.20      8.20
    590.00      1.09     17.83     17.83     20.00     20.00     22.82     22.82      8.52      8.52
    591.00      1.31     18.04     18.04     20.00     20.00     23.31     23.31      8.83      8.83
    592.00      0.97     18.22     18.22     20.00     20.00     23.78     23.78      9.10      9.10
    593.00     -0.34     18.36     18.36     20.00     20.00     24.16     24.16      9.29      9.29
    594.00     -1.11     18.52     18.52     20.00     20.00     24.63     24.63      9.45      9.45
    595.00     -1.16     18.68     18.68     20.00     20.00     25.10     25.10      9.60      9.60
    596.00     -1.20     18.78     18.78     20.00     20.00     25.38     25.38      9.75      9.75
    597.00     -1.20     18.90     18.90     20.00     20.00     25.71     25.71      9.89      9.89
    598.00     -1.24     18.98     18.98     20.00     20.00     25.90     25.90     10.03     10.03
    599.00     -1.30     16.86     16.86     17.50     17.50     22.29     22.29     10.15     10.15
    600.00     -1.35     15.18     15.18     15.43     15.43     19.59     19.59     10.26     10.26
    601.00     -1.42     15.03     15.03     15.43     15.43     18.91     18.91     10.33     10.33
    602.00     -1.35     14.41     14.41     15.00     15.00     17.29     17.29     10.36     10.36
    603.00     -1.25     14.21     14.21     15.00     15.00     16.45     16.45     10.37     10.37
    604.00     -1.15     13.92     13.92     15.00     15.00     15.32     15.32     10.35     10.35
    605.00     -1.10     13.84     13.84     15.00     15.00     15.04     15.04     10.31     10.31
    606.00     -1.05     13.81     13.81     15.00     15.00     15.00     15.00     10.25     10.25
    607.00     -0.95     13.79     13.79     15.00     15.00     15.00     15.00     10.18     10.18
    608.00     -0.85     15.66     15.66     17.50     17.50     17.56     17.56     10.10     10.10
    609.00     -0.08     17.53     17.53     20.00     20.00     20.06     20.06     10.08     10.08
    610.00      1.70     17.71     17.71     20.00     20.00     20.67     20.67     10.16     10.16
    611.00      3.50     18.03     18.03     20.00     20.00     21.77     21.77     10.35     10.35
    612.00      5.50     18.38     18.38     20.00     20.00     22.87     22.87     10.64     10.64
    613.00      7.47     18.99     18.99     20.32     20.32     24.31     24.31     11.02     11.02
    614.00      9.19     19.90     19.90     21.29     21.29     25.54     25.54     11.46     11.46
    615.00      9.84     19.96     19.96     20.97     20.97     26.00     26.00     11.91     11.91
    616.00      9.42     19.65     19.65     20.15     20.15     26.00     26.00     12.31     12.31
    617.00      8.25     19.73     19.73     20.15     20.15     26.00     26.00     12.63     12.63
    618.00      7.30     20.07     20.07     20.68     20.68     26.00     26.00     12.90     12.90
    619.00      6.70     20.27     20.27     20.98     20.98     26.00     26.00     13.13     13.13
    620.00      6.10     20.24     20.24     20.82     20.82     26.00     26.00     13.32     13.32
    621.00      5.50     20.31     20.31     20.88     20.88     26.00     26.00     13.47     13.47
    622.00      4.90     20.28     20.28     20.76     20.76     26.00     26.00     13.59     13.59
    623.00      4.30     18.76     18.76     18.88     18.88     23.60     23.60     13.67     13.67
    624.00      3.70     17.49     17.49     17.34     17.34     21.55     21.55     13.72     13.72
    625.00      2.99     16.99     16.99     16.78     16.78     20.70     20.70     13.70     13.70
    626.00      2.05     16.09     16.09     15.71     15.71     19.31     19.31     13.62     13.62
    627.00      1.15     15.61     15.61     15.29     15.29     18.37     18.37     13.48     13.48
    628.00      0.25     15.13     15.13     15.00     15.00     17.25     17.25     13.28     13.28
    629.00     -0.65     14.84     14.84     15.00     15.00     16.33     16.33     13.03     13.03
    630.00     -1.55     14.53     14.53     15.00     15.00     15.38     15.38     12.74     12.74
    631.00     -2.45     14.35     14.35     15.00     15.00     15.00     15.00     12.41     12.41
    632.00     -3.35     16.24     16.24     17.50     17.50     17.91     17.91     12.05     12.05
    633.00     -3.25     18.04     18.04     20.00     20.00     20.41     20.41     11.74     11.74
    634.00     -0.38     18.16     18.16     20.00     20.00     21.00     21.00     11.62     11.62
    635.00      2.20     18.46     18.46     20.00     20.00     22.20     22.20     11.66     11.66
    636.00      4.81     18.76     18.76     20.00     20.00     23.23     23.23     11.82     11.82
    637.00      7.26     19.81     19.81     21.21     21.21     24.70     24.70     12.11     12.11
    638.00      8.79     20.88     20.88     22.70     22.70     25.65     25.65     12.45     12.45
    639.00      9.57     21.01     21.01     22.61     22.61     26.00     26.00     12.82     12.82
    640.00      9.08     20.99     20.99     22.41     22.41     26.00     26.00     13.15     13.15
    641.00      7.31     20.87     20.87     22.04     22.04     26.00     26.00     13.38     13.38
    642.00      6.02     20.98     20.98     22.17     22.17     26.00     26.00     13.56     13.56
    643.00      5.41     21.07     21.07     22.28     22.28     26.00     26.00     13.71     13.71
    644.00      4.75     20.90     20.90     21.89     21.89     26.00     26.00     13.82     13.82
    645.00      4.05     20.86     20.86     21.78     21.78     26.00     26.00     13.89     13.89
    646.00      3.35     20.72     20.72     21.47     21.47     26.00     26.00     13.93     13.93
    647.00      2.65     19.12     19.12     19.50     19.50     23.55     23.55     13.93     13.93
    648.00      1.99     17.75     17.75     17.84     17.84     21.44     21.44     13.90     13.90
    649.00      1.35     17.17     17.17     17.15     17.15     20.56     20.56     13.81     13.81
    650.00      0.71     16.20     16.20     15.99     15.99     19.14     19.14     13.68     13.68
    651.00      0.05     15.62     15.62     15.41     15.41     18.19     18.19     13.49     13.49
    652.00     -0.65     15.08     15.08     15.00     15.00     17.06     17.06     13.26     13.26
    653.00     -1.30     14.78     14.78     15.00     15.00     16.14     16.14     12.99     12.99
    654.00     -1.95     14.50     14.50     15.00     15.00     15.29     15.29     12.69     12.69
    655.00     -2.65     14.34     14.34     15.00     15.00     15.00     15.00     12.36     12.36
    656.00     -3.37     16.21     16.21     17.50     17.50     17.84     17.84     12.01     12.01
    657.00     -3.30     18.01     18.01     20.00     20.00     20.34     20.34     11.69     11.69
    658.00     -2.51     18.04     18.04     20.00     20.00     20.72     20.72     11.45     11.45
    659.00     -1.81     18.20     18.20     20.00     20.00     21.51     21.51     11.28     11.28
    660.00     -0.66     18.36     18.36     20.00     20.00     22.20     22.20     11.22     11.22
    661.00      0.61     18.62     18.62     20.00     20.00     23.25     23.25     11.25     11.25
    662.00      1.68     18.85     18.85     20.00     20.00     24.08     24.08     11.34     11.34
    663.00      2.16     19.02     19.02     20.00     20.00     24.63     24.63     11.45     11.45
    664.00      2.16     19.17     19.17     20.00     20.00     25.14     25.14     11.55     11.55
    665.00      1.65     19.31     19.31     20.00     20.00     25.61     25.61     11.63     11.63
    666.00      1.10     19.39     19.39     20.00     20.00     25.87     25.87     11.69     11.69
    667.00      0.64     19.44     19.44     20.00     20.00     26.00     26.00     11.74     11.74
    668.00      0.20     19.44     19.44     20.00     20.00     26.00     26.00     11.78     11.78
    669.00     -0.20     19.45     19.45     20.00     20.00     26.00     26.00     11.80     11.80
    670.00     -0.64     19.45     19.45     20.00     20.00     26.00     26.00     11.80     11.80
    671.00     -1.10     17.40     17.40     17.50     17.50     22.80     22.80     11.79     11.79
    672.00     -1.55     15.78     15.78     15.55     15.55     20.28     20.28     11.75     11.75
    673.00     -1.95     15.55     15.55     15.55     15.55     19.44     19.44     11.68     11.68
    674.00     -2.31     14.85     14.85     15.00     15.00     17.82     17.82     11.56     11.56
    675.00     -2.65     14.57     14.57     15.00     15.00     16.86     16.86     11.41     11.41
    676.00     -2.95     14.22     14.22     15.00     15.00     15.67     15.67     11.22     11.22
    677.00     -3.30     14.05     14.05     15.00     15.00     15.17     15.17     11.01     11.01
    678.00     -3.65     13.95     13.95     15.00     15.00     15.00     15.00     10.78     10.78
    679.00     -3.95     13.88     13.88     15.00     15.00     15.00     15.00     10.54     10.54
    680.00     -4.34     15.70     15.70     17.50     17.50     17.50     17.50     10.28     10.28
    681.00     -3.90     17.52     17.52     20.00     20.00     20.00     20.00     10.08     10.08
    682.00     -1.79     17.55     17.55     20.00     20.00     20.18     20.18     10.02     10.02
    683.00      0.71     17.79     17.79     20.00     20.00     21.04     21.04     10.11     10.11
    684.00      3.15     18.13     18.13     20.00     20.00     22.20     22.20     10.33     10.33
    685.00      4.99     18.54     18.54     20.03     20.03     23.49     23.49     10.62     10.62
    686.00      6.40     19.28     19.28     20.72     20.72     24.71     24.71     10.97     10.97
    687.00      7.04     19.53     19.53     20.69     20.69     25.41     25.41     11.34     11.34
    688.00      6.97     19.46     19.46     20.15     20.15     25.86     25.86     11.67     11.67
    689.00      5.74     19.56     19.56     20.15     20.15     26.00     26.00     11.94     11.94
    690.00      4.75     19.76     19.76     20.45     20.45     26.00     26.00     12.14     12.14
    691.00      4.25     19.86     19.86     20.55     20.55     26.00     26.00     12.33     12.33
    692.00      3.80     19.78     19.78     20.31     20.31     26.00     26.00     12.49     12.49
    693.00      3.35     19.78     19.78     20.26     20.26     26.00     26.00     12.62     12.62
    694.00      2.85     19.72     19.72     20.08     20.08     26.00     26.00     12.72     12.72
    695.00      2.35     18.10     18.10     18.17     18.17     23.29     23.29     12.79     12.79
    696.00      1.85     16.77     16.77     16.60     16.60     21.06     21.06     12.82     12.82
    697.00      1.31     16.26     16.26     16.00     16.00     20.22     20.22     12.80     12.80
    698.00      0.76     15.39     15.39     15.03     15.03     18.75     18.75     12.74     12.74
    699.00      0.20     15.11     15.11     15.00     15.00     17.82     17.82     12.62     12.62
    700.00     -0.40     14.79     14.79     15.00     15.00     16.69     16.69     12.45     12.45
    701.00     -0.95     14.51     14.51     15.00     15.00     15.79     15.79     12.25     12.25
    702.00     -1.50     14.28     14.28     15.00     15.00     15.12     15.12     12.02     12.02
    703.00     -2.10     14.19     14.19     15.00     15.00     15.00     15.00     11.76     11.76
    704.00     -2.71     16.06     16.06     17.50     17.50     17.76     17.76     11.48     11.48
    705.00     -2.25     17.88     17.88     20.00     20.00     20.26     20.26     11.25     11.25
    706.00      0.32     17.99     17.99     20.00     20.00     20.76     20.76     11.20     11.20
    707.00      1.90     18.26     18.26     20.00     20.00     21.81     21.81     11.24     11.24
    708.00      2.92     18.50     18.50     20.00     20.00     22.68     22.68     11.33     11.33
    709.00      4.06     18.85     18.85     20.00     20.00     23.90     23.90     11.50     11.50
    710.00      5.28     19.27     19.27     20.20     20.20     24.95     24.95     11.73     11.73
    711.00      5.86     19.49     19.49     20.20     20.20     25.58     25.58     11.97     11.97
    712.00      5.78     19.53     19.53     20.00     20.00     25.90     25.90     12.20     12.20
    713.00      5.18     19.60     19.60     20.00     20.00     26.00     26.00     12.40     12.40
    714.00      4.28     19.64     19.64     20.01     20.01     26.00     26.00     12.54     12.54
    715.00      3.96     19.67     19.67     20.01     20.01     26.00     26.00     12.67     12.67
    716.00      3.60     19.70     19.70     20.00     20.00     26.00     26.00     12.79     12.79
    717.00      3.20     19.72     19.72     20.00     20.00     26.00     26.00     12.87     12.87
    718.00      2.80     19.74     19.74     20.00     20.00     26.00     26.00     12.94     12.94
    719.00      2.44     18.06     18.06     17.97     17.97     23.29     23.29     12.99     12.99
    720.00      2.10     16.71     16.71     16.38     16.38     21.07     21.07     13.01     13.01
    721.00      1.78     16.27     16.27     15.91     15.91     20.26     20.26     13.00     13.00
    722.00      1.65     15.44     15.44     15.00     15.00     18.83     18.83     12.95     12.95
    723.00      1.49     15.21     15.21     15.00     15.00     17.95     17.95     12.87     12.87
    724.00      1.35     14.91     14.91     15.00     15.00     16.89     16.89     12.76     12.76
    725.00      1.25     14.68     14.68     15.00     15.00     16.07     16.07     12.63     12.63
    726.00      1.15     14.44     14.44     15.00     15.00     15.28     15.28     12.48     12.48
    727.00      1.05     14.33     14.33     15.00     15.00     15.00     15.00     12.32     12.32
    728.00      0.95     16.38     16.38     17.50     17.50     18.36     18.36     12.16     12.16
    729.00      1.73     18.23     18.23     20.00     20.00     20.86     20.86     12.05     12.05
    730.00      3.69     18.39     18.39     20.00     20.00     21.51     21.51     12.07     12.07
    731.00      5.65     18.80     18.80     20.00     20.00     22.99     22.99     12.21     12.21
    732.00      7.85     19.11     19.11     20.00     20.00     23.99     23.99     12.46     12.46
    733.00      9.92     20.12     20.12     21.10     21.10     25.50     25.50     12.80     12.80
    734.00     11.64     21.02     21.02     22.44     22.44     26.00     26.00     13.21     13.21
    735.00     11.41     20.89     20.89     21.98     21.98     26.00     26.00     13.59     13.59
    736.00     10.91     20.85     20.85     21.73     21.73     26.00     26.00     13.93     13.93
    737.00     10.83     20.93     20.93     21.74     21.74     26.00     26.00     14.26     14.26
    738.00     10.45     21.33     21.33     22.39     22.39     26.00     26.00     14.55     14.55
    739.00     10.00     21.64     21.64     22.87     22.87     26.00     26.00     14.81     14.81
    740.00      9.60     21.60     21.60     22.68     22.68     26.00     26.00     15.03     15.03
    741.00      9.20     21.74     21.74     22.86     22.86     26.00     26.00     15.22     15.22
    742.00      8.80     21.74     21.74     22.78     22.78     26.00     26.00     15.39     15.39
    743.00      8.40     20.40     20.40     20.95     20.95     24.19     24.19     15.52     15.52
    744.00      8.03     19.26     19.26     19.45     19.45     22.53     22.53     15.62     15.62
