 TIME                    	Outlet                   	
  +4.3440000000000000E+03	  +2.0000000000000000E+01	
  +4.3442500000000000E+03	  +5.0330574371169583E+01	
  +4.3445000000000000E+03	  +5.0270219610660789E+01	
  +4.3447500000000000E+03	  +5.0209772866823386E+01	
  +4.3450000000000000E+03	  +5.0149234156011204E+01	
  +4.3452500000000000E+03	  +5.0088603494578059E+01	
  +4.3455000000000000E+03	  +5.0027880898877790E+01	
  +4.3457500000000000E+03	  +4.9967066385264211E+01	
  +4.3460000000000000E+03	  +4.9906159970091153E+01	
  +4.3462500000000000E+03	  +4.9845161669712425E+01	
  +4.3465000000000000E+03	  +4.9784071500481879E+01	
  +4.3467500000000000E+03	  +4.9722889478753316E+01	
  +4.3470000000000000E+03	  +4.9661615620880568E+01	
  +4.3472500000000000E+03	  +4.9600249943217449E+01	
  +4.3475000000000000E+03	  +4.9538792462117797E+01	
  +4.3477500000000000E+03	  +4.9477243193935443E+01	
  +4.3480000000000000E+03	  +4.9415602155024189E+01	
  +4.3482500000000000E+03	  +4.9357448752358437E+01	
  +4.3485000000000000E+03	  +4.9325021279414571E+01	
  +4.3487500000000000E+03	  +4.9323813811014851E+01	
  +4.3490000000000000E+03	  +4.9355759603035665E+01	
  +4.3492500000000000E+03	  +4.9419276936550411E+01	
  +4.3495000000000000E+03	  +4.9494174727791460E+01	
  +4.3497500000000000E+03	  +4.9575287583552992E+01	
  +4.3500000000000000E+03	  +4.9660742869638440E+01	
  +4.3502500000000000E+03	  +4.9749354906620091E+01	
  +4.3505000000000000E+03	  +5.1732564768625103E+01	
  +4.3507500000000000E+03	  +5.2245296330856249E+01	
  +4.3510000000000000E+03	  +5.2899519791545558E+01	
  +4.3512500000000000E+03	  +5.3512710390618558E+01	
  +4.3515000000000000E+03	  +5.4018517771737741E+01	
  +4.3517500000000000E+03	  +5.4611087196085478E+01	
  +4.3520000000000000E+03	  +5.5547576048079506E+01	
  +4.3522500000000000E+03	  +5.6781730927674765E+01	
  +4.3525000000000000E+03	  +5.8280295547529455E+01	
  +4.3527500000000000E+03	  +5.9617025174239217E+01	
  +4.3530000000000000E+03	  +6.0841305487451358E+01	
  +4.3532500000000000E+03	  +6.2050738265677261E+01	
  +4.3535000000000000E+03	  +6.3205526781608711E+01	
  +4.3537500000000000E+03	  +6.4265588728032185E+01	
  +4.3540000000000000E+03	  +6.5217075162683301E+01	
  +4.3542500000000000E+03	  +6.6057328474507841E+01	
  +4.3545000000000000E+03	  +6.6783591758024002E+01	
  +4.3547500000000000E+03	  +6.7358307124675875E+01	
  +4.3550000000000000E+03	  +6.7616264161874298E+01	
  +4.3552500000000000E+03	  +6.7707809407755946E+01	
  +4.3555000000000000E+03	  +6.7847335298147797E+01	
  +4.3557500000000000E+03	  +6.8300334304203787E+01	
  +4.3560000000000000E+03	  +6.9302970568621461E+01	
  +4.3562500000000000E+03	  +7.0514164680553307E+01	
  +4.3565000000000000E+03	  +7.1514861511650267E+01	
  +4.3567500000000000E+03	  +7.1881022708960671E+01	
  +4.3570000000000000E+03	  +7.1509993257351496E+01	
  +4.3572500000000000E+03	  +7.0825010631813882E+01	
  +4.3575000000000000E+03	  +7.0294812779439880E+01	
  +4.3577500000000000E+03	  +7.0379995677905953E+01	
  +4.3580000000000000E+03	  +7.1189795010682857E+01	
  +4.3582500000000000E+03	  +7.2158730280604715E+01	
  +4.3585000000000000E+03	  +7.2436095955951004E+01	
  +4.3587500000000000E+03	  +7.2416783607543294E+01	
  +4.3590000000000000E+03	  +7.1857728717381590E+01	
  +4.3592500000000000E+03	  +7.0857099832323797E+01	
  +4.3595000000000000E+03	  +6.9461193504103235E+01	
  +4.3597500000000000E+03	  +6.7651715726221298E+01	
  +4.3600000000000000E+03	  +6.5411940665248977E+01	
  +4.3602500000000000E+03	  +6.3028497542827033E+01	
  +4.3605000000000000E+03	  +6.1164180828742637E+01	
  +4.3607500000000000E+03	  +5.9905926984523020E+01	
  +4.3610000000000000E+03	  +5.8908510462609321E+01	
  +4.3612500000000000E+03	  +5.8122757018311788E+01	
  +4.3615000000000000E+03	  +5.7422927132275156E+01	
  +4.3617500000000000E+03	  +5.6730569800972170E+01	
  +4.3620000000000000E+03	  +5.5929442119848062E+01	
  +4.3622500000000000E+03	  +5.5076060489086856E+01	
  +4.3625000000000000E+03	  +5.4343203967820585E+01	
  +4.3627500000000000E+03	  +5.2171855778234828E+01	
  +4.3630000000000000E+03	  +5.2114071747369714E+01	
  +4.3632500000000000E+03	  +5.2046539226643418E+01	
  +4.3635000000000000E+03	  +5.1977323247373427E+01	
  +4.3637500000000000E+03	  +5.1907974132206526E+01	
  +4.3640000000000000E+03	  +5.1838491467221644E+01	
  +4.3642500000000000E+03	  +5.1768876164192513E+01	
  +4.3645000000000000E+03	  +5.1699127366172114E+01	
  +4.3647500000000000E+03	  +5.1629245988318239E+01	
  +4.3650000000000000E+03	  +5.1559231170300542E+01	
  +4.3652500000000000E+03	  +5.1489083830659411E+01	
  +4.3655000000000000E+03	  +5.1418803105682620E+01	
  +4.3657500000000000E+03	  +5.1348389917291726E+01	
  +4.3660000000000000E+03	  +5.1277843398394047E+01	
  +4.3662500000000000E+03	  +5.1206419618148722E+01	
  +4.3665000000000000E+03	  +5.1130607177683068E+01	
  +4.3667500000000000E+03	  +5.1052113933310117E+01	
  +4.3670000000000000E+03	  +5.0973520479470871E+01	
  +4.3672500000000000E+03	  +5.0896916226241423E+01	
  +4.3675000000000000E+03	  +5.0821569877070402E+01	
  +4.3677500000000000E+03	  +5.0748872749830042E+01	
  +4.3680000000000000E+03	  +5.0680708592376803E+01	
  +4.3682500000000000E+03	  +5.0620882807137733E+01	
  +4.3685000000000000E+03	  +5.0577863040661057E+01	
  +4.3687500000000000E+03	  +5.0542919058313913E+01	
  +4.3690000000000000E+03	  +5.0504817033223105E+01	
  +4.3692500000000000E+03	  +5.0454452448256092E+01	
  +4.3695000000000000E+03	  +5.0398928019628570E+01	
  +4.3697500000000000E+03	  +5.0342822690768323E+01	
  +4.3700000000000000E+03	  +5.0289153227216417E+01	
  +4.3702500000000000E+03	  +5.0240007735636048E+01	
  +4.3705000000000000E+03	  +5.0191620955541318E+01	
  +4.3707500000000000E+03	  +5.0143175319834917E+01	
  +4.3710000000000000E+03	  +5.0094670836889975E+01	
  +4.3712500000000000E+03	  +5.0046107283371178E+01	
  +4.3715000000000000E+03	  +4.9997485130788050E+01	
  +4.3717500000000000E+03	  +4.9948804156085828E+01	
  +4.3720000000000000E+03	  +4.9900064367637633E+01	
  +4.3722500000000000E+03	  +4.9851265540986375E+01	
  +4.3725000000000000E+03	  +4.9802407683664136E+01	
  +4.3727500000000000E+03	  +4.9753491269985048E+01	
  +4.3730000000000000E+03	  +4.9704516542834440E+01	
  +4.3732500000000000E+03	  +4.9672451531856495E+01	
  +4.3735000000000000E+03	  +4.9739091542817327E+01	
  +4.3737500000000000E+03	  +4.9870045933663967E+01	
  +4.3740000000000000E+03	  +5.0011899965927938E+01	
  +4.3742500000000000E+03	  +5.0119903795845588E+01	
  +4.3745000000000000E+03	  +5.2265780568785971E+01	
  +4.3747500000000000E+03	  +5.2540542819531161E+01	
  +4.3750000000000000E+03	  +5.2984399164626218E+01	
  +4.3752500000000000E+03	  +5.3655134460887766E+01	
  +4.3755000000000000E+03	  +5.4579540499221117E+01	
  +4.3757500000000000E+03	  +5.5776088658003658E+01	
  +4.3760000000000000E+03	  +5.7260900455632388E+01	
  +4.3762500000000000E+03	  +5.9045027192542648E+01	
