 TIME                    	Outlet                   	
  +4.3670000000000000E+03	  +1.9273535125257251E+01	
  +4.3672500000000000E+03	  +1.9216225300385375E+01	
  +4.3675000000000000E+03	  +1.9159814739712996E+01	
  +4.3677500000000000E+03	  +1.9105348542175612E+01	
  +4.3680000000000000E+03	  +1.9054243888857478E+01	
  +4.3682500000000000E+03	  +1.9009363270559160E+01	
  +4.3685000000000000E+03	  +1.8977074525581589E+01	
  +4.3687500000000000E+03	  +1.8950837409876097E+01	
  +4.3690000000000000E+03	  +1.8922219251386736E+01	
  +4.3692500000000000E+03	  +1.8884375009518259E+01	
  +4.3695000000000000E+03	  +1.8842632910514279E+01	
  +4.3697500000000000E+03	  +1.8800432124262898E+01	
  +4.3700000000000000E+03	  +1.8760042938992974E+01	
  +4.3702500000000000E+03	  +1.8723040706254480E+01	
  +4.3705000000000000E+03	  +1.8686593360035971E+01	
  +4.3707500000000000E+03	  +1.8650085483577374E+01	
  +4.3710000000000000E+03	  +1.8613517085251821E+01	
  +4.3712500000000000E+03	  +1.8576887998627754E+01	
  +4.3715000000000000E+03	  +1.8540198581399199E+01	
  +4.3717500000000000E+03	  +1.8503448667423129E+01	
  +4.3720000000000000E+03	  +1.8466638265072682E+01	
  +4.3722500000000000E+03	  +1.8429767206762570E+01	
  +4.3725000000000000E+03	  +1.8392835500000931E+01	
  +4.3727500000000000E+03	  +1.8355843505366227E+01	
  +4.3730000000000000E+03	  +1.8318791408919893E+01	
  +4.3732500000000000E+03	  +1.8294523804678384E+01	
  +4.3735000000000000E+03	  +1.8344950972654484E+01	
  +4.3737500000000000E+03	  +1.8443959056916924E+01	
  +4.3740000000000000E+03	  +1.8551077441105555E+01	
  +4.3742500000000000E+03	  +1.8632542680993179E+01	
  +4.3745000000000000E+03	  +2.0773451897975601E+01	
  +4.3747500000000000E+03	  +2.1026107330548104E+01	
  +4.3750000000000000E+03	  +2.1445946083891823E+01	
  +4.3752500000000000E+03	  +2.2089468857057000E+01	
  +4.3755000000000000E+03	  +2.2988001310002840E+01	
  +4.3757500000000000E+03	  +2.4161068823615224E+01	
  +4.3760000000000000E+03	  +2.5624934339149952E+01	
  +4.3762500000000000E+03	  +2.7390745922646090E+01	
  +4.3765000000000000E+03	  +2.9518948122092397E+01	
  +4.3767500000000000E+03	  +3.1697859244607244E+01	
  +4.3770000000000000E+03	  +3.3471571044523834E+01	
  +4.3772500000000000E+03	  +3.5102278017520561E+01	
  +4.3775000000000000E+03	  +3.6604063665199384E+01	
  +4.3777500000000000E+03	  +3.8002865090081222E+01	
  +4.3780000000000000E+03	  +3.9283260951899415E+01	
  +4.3782500000000000E+03	  +4.0426172624970881E+01	
  +4.3785000000000000E+03	  +4.1412708261563438E+01	
  +4.3787500000000000E+03	  +4.2228968994782420E+01	
  +4.3790000000000000E+03	  +4.3333855595667558E+01	
  +4.3792500000000000E+03	  +4.3934117527002378E+01	
  +4.3795000000000000E+03	  +4.4433476891839724E+01	
  +4.3797500000000000E+03	  +4.4862594145222573E+01	
  +4.3800000000000000E+03	  +4.5242206047890079E+01	
  +4.3802500000000000E+03	  +4.5545302085214928E+01	
  +4.3805000000000000E+03	  +4.5736153602121483E+01	
  +4.3807500000000000E+03	  +4.5786569914743168E+01	
  +4.3810000000000000E+03	  +4.5686176348901014E+01	
  +4.3812500000000000E+03	  +4.5351492403649502E+01	
  +4.3815000000000000E+03	  +4.4690939895602042E+01	
  +4.3817500000000000E+03	  +4.3670349933283816E+01	
  +4.3820000000000000E+03	  +4.2535033335385613E+01	
  +4.3822500000000000E+03	  +4.1345468574589212E+01	
  +4.3825000000000000E+03	  +4.0453396282228525E+01	
  +4.3827500000000000E+03	  +3.9199456005429973E+01	
  +4.3830000000000000E+03	  +3.7952284867168373E+01	
  +4.3832500000000000E+03	  +3.6699420001080270E+01	
  +4.3835000000000000E+03	  +3.5424060731362999E+01	
  +4.3837500000000000E+03	  +3.4117047215130683E+01	
  +4.3840000000000000E+03	  +3.2806454993293386E+01	
  +4.3842500000000000E+03	  +3.1507673634429096E+01	
  +4.3845000000000000E+03	  +3.0232385696697598E+01	
  +4.3847500000000000E+03	  +2.8786153831974392E+01	
  +4.3850000000000000E+03	  +2.7528329405787272E+01	
  +4.3852500000000000E+03	  +2.6448217091971621E+01	
  +4.3855000000000000E+03	  +2.5527335814776990E+01	
  +4.3857500000000000E+03	  +2.4725311314620285E+01	
  +4.3860000000000000E+03	  +2.4014227619729589E+01	
  +4.3862500000000000E+03	  +2.3447410972254584E+01	
  +4.3865000000000000E+03	  +2.3009225989700340E+01	
  +4.3867500000000000E+03	  +2.0427795391463402E+01	
  +4.3870000000000000E+03	  +2.0364428068191916E+01	
  +4.3872500000000000E+03	  +2.0304099553609543E+01	
  +4.3875000000000000E+03	  +2.0243673524431305E+01	
  +4.3877500000000000E+03	  +2.0183625838921301E+01	
  +4.3880000000000000E+03	  +2.0125290181276551E+01	
  +4.3882500000000000E+03	  +2.0069500098698640E+01	
  +4.3885000000000000E+03	  +2.0014008772262450E+01	
  +4.3887500000000000E+03	  +1.9958356451385772E+01	
  +4.3890000000000000E+03	  +1.9902543825217005E+01	
  +4.3892500000000000E+03	  +1.9846570274580902E+01	
  +4.3895000000000000E+03	  +1.9790436162488081E+01	
  +4.3897500000000000E+03	  +1.9734141855718342E+01	
  +4.3900000000000000E+03	  +1.9677686729442669E+01	
  +4.3902500000000000E+03	  +1.9621071149498885E+01	
  +4.3905000000000000E+03	  +1.9564295485491453E+01	
  +4.3907500000000000E+03	  +1.9507359106941394E+01	
  +4.3910000000000000E+03	  +1.9450262718068743E+01	
  +4.3912500000000000E+03	  +1.9393005684629987E+01	
  +4.3915000000000000E+03	  +1.9335588714608846E+01	
  +4.3917500000000000E+03	  +1.9278011169998969E+01	
  +4.3920000000000000E+03	  +1.9220273423227582E+01	
  +4.3922500000000000E+03	  +1.9165395256127074E+01	
  +4.3925000000000000E+03	  +1.9127364741889000E+01	
  +4.3927500000000000E+03	  +1.9098587121626746E+01	
  +4.3930000000000000E+03	  +1.9067903663148805E+01	
  +4.3932500000000000E+03	  +1.9026319197941412E+01	
  +4.3935000000000000E+03	  +1.8980799811522335E+01	
  +4.3937500000000000E+03	  +1.8934713631254287E+01	
  +4.3940000000000000E+03	  +1.8889751823746955E+01	
  +4.3942500000000000E+03	  +1.8847413051118341E+01	
  +4.3945000000000000E+03	  +1.8807004929223989E+01	
  +4.3947500000000000E+03	  +1.8767041962128236E+01	
  +4.3950000000000000E+03	  +1.8726105072867490E+01	
  +4.3952500000000000E+03	  +1.8682898585697917E+01	
  +4.3955000000000000E+03	  +1.8637669669578688E+01	
  +4.3957500000000000E+03	  +1.8591354840199529E+01	
  +4.3960000000000000E+03	  +1.8544860475025764E+01	
  +4.3962500000000000E+03	  +1.8497833470399730E+01	
  +4.3965000000000000E+03	  +1.8446743956903116E+01	
  +4.3967500000000000E+03	  +1.8399345293270155E+01	
  +4.3970000000000000E+03	  +1.8365083760860987E+01	
  +4.3972500000000000E+03	  +1.8364585070704337E+01	
  +4.3975000000000000E+03	  +1.8451510965421708E+01	
  +4.3977500000000000E+03	  +1.8588464916804561E+01	
  +4.3980000000000000E+03	  +1.8724972307324947E+01	
  +4.3982500000000000E+03	  +1.8822456879999752E+01	
  +4.3985000000000000E+03	  +2.0317269525753900E+01	
  +4.3987500000000000E+03	  +2.0834627323653390E+01	
  +4.3990000000000000E+03	  +2.1680547472867438E+01	
  +4.3992500000000000E+03	  +2.2627278547455248E+01	
  +4.3995000000000000E+03	  +2.3547686329085742E+01	
  +4.3997500000000000E+03	  +2.4455313991834142E+01	
  +4.4000000000000000E+03	  +2.5481224955906889E+01	
  +4.4002500000000000E+03	  +2.6684674438686606E+01	
  +4.4005000000000000E+03	  +2.8120630078542092E+01	
  +4.4007500000000000E+03	  +2.9735671483501140E+01	
  +4.4010000000000000E+03	  +3.1340079335911042E+01	
  +4.4012500000000000E+03	  +3.3043423934346201E+01	
  +4.4015000000000000E+03	  +3.4803374513710722E+01	
  +4.4017500000000000E+03	  +3.6422872111936215E+01	
  +4.4020000000000000E+03	  +3.8260710861072894E+01	
  +4.4022500000000000E+03	  +4.0064441828487766E+01	
  +4.4025000000000000E+03	  +4.1412240438720445E+01	
  +4.4027500000000000E+03	  +4.2845422759775083E+01	
  +4.4030000000000000E+03	  +4.3889015458917697E+01	
  +4.4032500000000000E+03	  +4.4601843950279338E+01	
  +4.4035000000000000E+03	  +4.5077747113819328E+01	
  +4.4037500000000000E+03	  +4.5412856196954152E+01	
  +4.4040000000000000E+03	  +4.6142767244170443E+01	
  +4.4042500000000000E+03	  +4.6296754804140768E+01	
  +4.4045000000000000E+03	  +4.6377425879317798E+01	
  +4.4047500000000000E+03	  +4.6411510895603307E+01	
  +4.4050000000000000E+03	  +4.6392971991846451E+01	
  +4.4052500000000000E+03	  +4.6295399651959329E+01	
  +4.4055000000000000E+03	  +4.5626573662864459E+01	
  +4.4057500000000000E+03	  +4.5336879688756781E+01	
  +4.4060000000000000E+03	  +4.4867642420361641E+01	
  +4.4062500000000000E+03	  +4.4239675828496104E+01	
  +4.4065000000000000E+03	  +4.3482783926507103E+01	
  +4.4067500000000000E+03	  +4.2616958144440737E+01	
  +4.4070000000000000E+03	  +4.1592898150932029E+01	
  +4.4072500000000000E+03	  +4.0395840585811143E+01	
  +4.4075000000000000E+03	  +3.9020064117924093E+01	
  +4.4077500000000000E+03	  +3.7437507309007771E+01	
  +4.4080000000000000E+03	  +3.5582918898229508E+01	
  +4.4082500000000000E+03	  +3.3793007003077577E+01	
  +4.4085000000000000E+03	  +3.2001980638046518E+01	
  +4.4087500000000000E+03	  +3.0094353690521888E+01	
  +4.4090000000000000E+03	  +2.8409762314491473E+01	
  +4.4092500000000000E+03	  +2.6802665933252118E+01	
  +4.4095000000000000E+03	  +2.5322851887430488E+01	
  +4.4097500000000000E+03	  +2.4172269425455333E+01	
  +4.4100000000000000E+03	  +2.3432110085738355E+01	
  +4.4102500000000000E+03	  +2.3034790234954833E+01	
  +4.4105000000000000E+03	  +2.2838564310542374E+01	
  +4.4107500000000000E+03	  +2.0732620926640472E+01	
  +4.4110000000000000E+03	  +2.0679570924118163E+01	
  +4.4112500000000000E+03	  +2.0620627041202958E+01	
  +4.4115000000000000E+03	  +2.0558120334744142E+01	
  +4.4117500000000000E+03	  +2.0491959604124943E+01	
  +4.4120000000000000E+03	  +2.0421479666993744E+01	
  +4.4122500000000000E+03	  +2.0346646710685903E+01	
  +4.4125000000000000E+03	  +2.0270890968968612E+01	
  +4.4127500000000000E+03	  +2.0194827201526632E+01	
  +4.4130000000000000E+03	  +2.0118454858933429E+01	
  +4.4132500000000000E+03	  +2.0041774358312683E+01	
  +4.4135000000000000E+03	  +1.9964786122012626E+01	
  +4.4137500000000000E+03	  +1.9887489592769882E+01	
  +4.4140000000000000E+03	  +1.9809885521209250E+01	
  +4.4142500000000000E+03	  +1.9732529226230234E+01	
  +4.4145000000000000E+03	  +1.9658039279263281E+01	
  +4.4147500000000000E+03	  +1.9585127375023006E+01	
  +4.4150000000000000E+03	  +1.9511840458164599E+01	
  +4.4152500000000000E+03	  +1.9435729606819475E+01	
  +4.4155000000000000E+03	  +1.9354446253927005E+01	
  +4.4157500000000000E+03	  +1.9271842460834577E+01	
  +4.4160000000000000E+03	  +1.9192583317314806E+01	
  +4.4162500000000000E+03	  +1.9121256266281769E+01	
  +4.4165000000000000E+03	  +1.9058113336285853E+01	
  +4.4167500000000000E+03	  +1.8998434102699786E+01	
  +4.4170000000000000E+03	  +1.8937178759419446E+01	
  +4.4172500000000000E+03	  +1.8870485571651816E+01	
  +4.4175000000000000E+03	  +1.8802558282778275E+01	
  +4.4177500000000000E+03	  +1.8734418098043491E+01	
  +4.4180000000000000E+03	  +1.8666065072641622E+01	
  +4.4182500000000000E+03	  +1.8597499261766824E+01	
  +4.4185000000000000E+03	  +1.8528720720613254E+01	
  +4.4187500000000000E+03	  +1.8459729504375069E+01	
  +4.4190000000000000E+03	  +1.8390525668246429E+01	
  +4.4192500000000000E+03	  +1.8321109267421484E+01	
  +4.4195000000000000E+03	  +1.8251480357094398E+01	
  +4.4197500000000000E+03	  +1.8181638992459323E+01	
  +4.4200000000000000E+03	  +1.8111585228710421E+01	
  +4.4202500000000000E+03	  +1.8038909041547399E+01	
  +4.4205000000000000E+03	  +1.7954539898587822E+01	
  +4.4207500000000000E+03	  +1.7869940792615360E+01	
  +4.4210000000000000E+03	  +1.7799780702156522E+01	
  +4.4212500000000000E+03	  +1.7765394155855880E+01	
  +4.4215000000000000E+03	  +1.7802386192821686E+01	
  +4.4217500000000000E+03	  +1.7885083595991862E+01	
  +4.4220000000000000E+03	  +1.7979315634021287E+01	
  +4.4222500000000000E+03	  +1.8057465560934297E+01	
  +4.4225000000000000E+03	  +2.0099415750922152E+01	
  +4.4227500000000000E+03	  +2.0563003033781889E+01	
  +4.4230000000000000E+03	  +2.1281302405955284E+01	
  +4.4232500000000000E+03	  +2.2068429885836363E+01	
  +4.4235000000000000E+03	  +2.2800880726480035E+01	
  +4.4237500000000000E+03	  +2.3565336381108615E+01	
  +4.4240000000000000E+03	  +2.4557371398390277E+01	
  +4.4242500000000000E+03	  +2.5928685657623475E+01	
  +4.4245000000000000E+03	  +2.7620306542376074E+01	
  +4.4247500000000000E+03	  +2.9220262963039342E+01	
  +4.4250000000000000E+03	  +3.0478302227518611E+01	
  +4.4252500000000000E+03	  +3.1644461936636205E+01	
  +4.4255000000000000E+03	  +3.2845807241810107E+01	
  +4.4257500000000000E+03	  +3.4242879603459059E+01	
  +4.4260000000000000E+03	  +3.5867035619388176E+01	
  +4.4262500000000000E+03	  +3.7572910578866882E+01	
  +4.4265000000000000E+03	  +3.9182723577662237E+01	
  +4.4267500000000000E+03	  +4.0221999757727147E+01	
  +4.4270000000000000E+03	  +4.1391342672058514E+01	
  +4.4272500000000000E+03	  +4.2423667191399872E+01	
  +4.4275000000000000E+03	  +4.3358331018694457E+01	
  +4.4277500000000000E+03	  +4.4239233642221151E+01	
  +4.4280000000000000E+03	  +4.5056159840851599E+01	
  +4.4282500000000000E+03	  +4.5725997159788058E+01	
  +4.4285000000000000E+03	  +4.6157793508008950E+01	
  +4.4287500000000000E+03	  +4.6181105369833375E+01	
  +4.4290000000000000E+03	  +4.5424442104328008E+01	
  +4.4292500000000000E+03	  +4.4235220813258607E+01	
  +4.4295000000000000E+03	  +4.3125761312925796E+01	
  +4.4297500000000000E+03	  +4.2608979439850501E+01	
  +4.4300000000000000E+03	  +4.2536582187736698E+01	
  +4.4302500000000000E+03	  +4.2476053876262512E+01	
  +4.4305000000000000E+03	  +4.2098829953294256E+01	
  +4.4307500000000000E+03	  +4.0910197956809242E+01	
  +4.4310000000000000E+03	  +3.9855728203737527E+01	
  +4.4312500000000000E+03	  +3.8870412553137164E+01	
  +4.4315000000000000E+03	  +3.7417634603838991E+01	
  +4.4317500000000000E+03	  +3.5815414793133499E+01	
  +4.4320000000000000E+03	  +3.4172099992209382E+01	
  +4.4322500000000000E+03	  +3.2528015302649465E+01	
  +4.4325000000000000E+03	  +3.0903385930270431E+01	
  +4.4327500000000000E+03	  +2.8959833999120768E+01	
  +4.4330000000000000E+03	  +2.7231397965824925E+01	
  +4.4332500000000000E+03	  +2.5726353189715173E+01	
  +4.4335000000000000E+03	  +2.4450198087362196E+01	
  +4.4337500000000000E+03	  +2.3414930994871973E+01	
  +4.4340000000000000E+03	  +2.2622273067316950E+01	
  +4.4342500000000000E+03	  +2.2086522891867695E+01	
  +4.4345000000000000E+03	  +2.1766050827422927E+01	
  +4.4347500000000000E+03	  +1.9720432968170179E+01	
  +4.4350000000000000E+03	  +1.9661910415421818E+01	
  +4.4352500000000000E+03	  +1.9601595452585968E+01	
  +4.4355000000000000E+03	  +1.9539884417987068E+01	
  +4.4357500000000000E+03	  +1.9477801373988541E+01	
  +4.4360000000000000E+03	  +1.9416446159927307E+01	
  +4.4362500000000000E+03	  +1.9357086820343593E+01	
  +4.4365000000000000E+03	  +1.9300434714521096E+01	
  +4.4367500000000000E+03	  +1.9244321306160426E+01	
  +4.4370000000000000E+03	  +1.9186246697988437E+01	
  +4.4372500000000000E+03	  +1.9124432928684499E+01	
  +4.4375000000000000E+03	  +1.9061789597751861E+01	
  +4.4377500000000000E+03	  +1.8998960797604770E+01	
  +4.4380000000000000E+03	  +1.8935946230727815E+01	
  +4.4382500000000000E+03	  +1.8872746112938316E+01	
